content_id;official_number;module;smartmodus_kategorie;scope;question;answer_a;answer_b;answer_c;answer_d;correct_answer;topic;subtopic;competency;image_required;source_question_id;content_role;feedback_correct;feedback_incorrect;evaluation_mode;content_status
SBF-BASIS-0001;1;Basis;Basisfragen;See + Binnen;Was ist zu tun, wenn vor Antritt der Fahrt nicht feststeht, wer Schiffsführer ist?;Der verantwortliche Schiffsführer muss bestimmt werden.;Der verantwortliche Schiffsführer muss gewählt werden.;Ein Inhaber eines Sportbootführerscheins muss die Fahrzeugführung übernehmen.;Ein Inhaber eines Sportbootführerscheins muss die Verantwortung übernehmen.;A;Allgemeine Seemannschaft;Grundlagen;Seemännische Grundlagen sicher anwenden;false;SBFSEE-0001 | SBFBIN-0001;shared_basis;"Richtig.

Der verantwortliche Schiffsführer muss bestimmt werden. Damit Verantwortung und Entscheidungsbefugnis vor dem Ablegen eindeutig zugeordnet sind, muss eine Person ausdrücklich als Schiffsführer feststehen.";"Falsch.

Richtig ist: „Der verantwortliche Schiffsführer muss bestimmt werden.“

Damit Verantwortung und Entscheidungsbefugnis vor dem Ablegen eindeutig zugeordnet sind, muss eine Person ausdrücklich als Schiffsführer feststehen.";multiple_choice;Feedback erstellt
SBF-BASIS-0002;2;Basis;Basisfragen;See + Binnen;In welchen Fällen darf weder ein Sportboot geführt noch dessen Kurs oder Geschwindigkeit selbstständig bestimmt werden?;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist.;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,8 ‰ oder mehr im Körper vorhanden ist.;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 1,0 ‰ oder mehr im Körper vorhanden ist.;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,3 ‰ oder mehr im Körper vorhanden ist.;A;Allgemeine Seemannschaft;Grundlagen;Seemännische Grundlagen sicher anwenden;false;SBFSEE-0002 | SBFBIN-0002;shared_basis;"Richtig.

Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist. Die sichere Führung hat Vorrang: Schon eine tatsächliche Beeinträchtigung schließt das Führen aus; ab 0,5 ‰ gilt das Verbot unabhängig davon zusätzlich.";"Falsch.

Richtig ist: „Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist.“

Die sichere Führung hat Vorrang: Schon eine tatsächliche Beeinträchtigung schließt das Führen aus; ab 0,5 ‰ gilt das Verbot unabhängig davon zusätzlich.";multiple_choice;Feedback erstellt
SBF-BASIS-0003;3;Basis;Basisfragen;See + Binnen;Wann ist ein Fahrzeug in Fahrt?;Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt.;Wenn es weder vor Anker liegt noch an Land festgemacht ist noch Fahrt über Grund macht.;Wenn es weder auf Grund sitzt noch vor Anker liegt noch manövrierbehindert oder manövrierunfähig ist.;Wenn es weder an Land festgemacht ist noch vor Anker liegt noch Fahrt durchs Wasser macht.;A;Allgemeine Seemannschaft;Grundlagen;Seemännische Grundlagen sicher anwenden;false;SBFSEE-0003 | SBFBIN-0003;shared_basis;"Richtig.

Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt. „In Fahrt“ bedeutet nicht zwingend, dass sich das Fahrzeug bewegt. Entscheidend ist, dass es weder ankert noch festgemacht ist noch auf Grund sitzt.";"Falsch.

Richtig ist: „Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt.“

„In Fahrt“ bedeutet nicht zwingend, dass sich das Fahrzeug bewegt. Entscheidend ist, dass es weder ankert noch festgemacht ist noch auf Grund sitzt.";multiple_choice;Feedback erstellt
SBF-BASIS-0004;4;Basis;Basisfragen;See + Binnen;Wie lang ist die Dauer eines kurzen Tons ( )?;Etwa 1 Sekunde.;Etwa 2 Sekunden.;Weniger als 1 Sekunde.;Weniger als 4 Sekunden.;A;Lichter, Zeichen & Schallsignale;Fahrzeug- und Verkehrssignale;Signale erkennen und Bedeutung zuordnen;false;SBFSEE-0004 | SBFBIN-0004;shared_basis;"Richtig.

Etwa 1 Sekunde. Ein kurzer Ton dauert ungefähr eine Sekunde; die festgelegte Dauer macht Schallsignale eindeutig unterscheidbar.";"Falsch.

Richtig ist: „Etwa 1 Sekunde.“

Ein kurzer Ton dauert ungefähr eine Sekunde; die festgelegte Dauer macht Schallsignale eindeutig unterscheidbar.";multiple_choice;Feedback erstellt
SBF-BASIS-0005;5;Basis;Basisfragen;See + Binnen;Wie lang ist die Dauer eines langen Tons ( )?;Etwa 4 - 6 Sekunden.;Etwa 2 - 6 Sekunden.;Etwa 1 - 2 Sekunden.;Etwa 6 - 8 Sekunden.;A;Lichter, Zeichen & Schallsignale;Fahrzeug- und Verkehrssignale;Signale erkennen und Bedeutung zuordnen;false;SBFSEE-0005 | SBFBIN-0005;shared_basis;"Richtig.

Etwa 4 - 6 Sekunden. Ein langer Ton dauert ungefähr vier bis sechs Sekunden und ist dadurch klar vom kurzen Ton abgrenzbar.";"Falsch.

Richtig ist: „Etwa 4 - 6 Sekunden.“

Ein langer Ton dauert ungefähr vier bis sechs Sekunden und ist dadurch klar vom kurzen Ton abgrenzbar.";multiple_choice;Feedback erstellt
SBF-BASIS-0006;6;Basis;Basisfragen;See + Binnen;Wann gilt ein Fahrzeug unter Segel als Maschinenfahrzeug?;Wenn es gleichzeitig mit Maschinenkraft fährt.;Wenn es mit einer Antriebsmaschine ausgerüstet ist.;Wenn es durch das Segeln keine Fahrt durchs Wasser macht.;Wenn es durch das Segeln keine Fahrt über Grund macht.;A;Seemannschaft & Technik;Manöver / Bordtechnik;Boot sicher manövrieren und Technik beurteilen;false;SBFSEE-0006 | SBFBIN-0006;shared_basis;"Richtig.

Wenn es gleichzeitig mit Maschinenkraft fährt. Sobald Maschinenkraft mitwirkt, gelten für das Segelfahrzeug die Regeln und Ausweichpflichten eines Maschinenfahrzeugs.";"Falsch.

Richtig ist: „Wenn es gleichzeitig mit Maschinenkraft fährt.“

Sobald Maschinenkraft mitwirkt, gelten für das Segelfahrzeug die Regeln und Ausweichpflichten eines Maschinenfahrzeugs.";multiple_choice;Feedback erstellt
SBF-BASIS-0007;7;Basis;Basisfragen;See + Binnen;Welches Signal führt ein Fahrzeug unter Segel, das als Maschinenfahrzeug gilt, zusätzlich am Tage?;Einen schwarzen Kegel, Spitze unten.;Einen schwarzen Kegel, Spitze oben.;Einen schwarzen Rhombus.;Zwei schwarze Bälle senkrecht übereinander.;A;Lichter, Zeichen & Schallsignale;Fahrzeug- und Verkehrssignale;Signale erkennen und Bedeutung zuordnen;false;SBFSEE-0007 | SBFBIN-0007;shared_basis;"Richtig.

Einen schwarzen Kegel, Spitze unten. Der Kegel mit der Spitze nach unten zeigt am Tag, dass ein Fahrzeug trotz gesetzter Segel zugleich Maschinenkraft benutzt.";"Falsch.

Richtig ist: „Einen schwarzen Kegel, Spitze unten.“

Der Kegel mit der Spitze nach unten zeigt am Tag, dass ein Fahrzeug trotz gesetzter Segel zugleich Maschinenkraft benutzt.";multiple_choice;Feedback erstellt
SBF-BASIS-0008;8;Basis;Basisfragen;See + Binnen;Welche Seite wird als Luvseite bezeichnet?;Die dem Wind zugekehrte Seite.;Die dem Wind abgewandte Seite.;Die Seite in Fahrtrichtung rechts.;Die Seite in Fahrtrichtung links.;A;Allgemeine Seemannschaft;Grundlagen;Seemännische Grundlagen sicher anwenden;false;SBFSEE-0008 | SBFBIN-0008;shared_basis;"Richtig.

Die dem Wind zugekehrte Seite. Luv liegt auf der Seite, aus der der Wind kommt; sie ist dem Wind zugewandt.";"Falsch.

Richtig ist: „Die dem Wind zugekehrte Seite.“

Luv liegt auf der Seite, aus der der Wind kommt; sie ist dem Wind zugewandt.";multiple_choice;Feedback erstellt
SBF-BASIS-0009;9;Basis;Basisfragen;See + Binnen;Welche Seite wird als Leeseite bezeichnet?;Die dem Wind abgewandte Seite.;Die dem Wind zugekehrte Seite.;Die Seite in Fahrtrichtung rechts.;Die Seite in Fahrtrichtung links.;A;Allgemeine Seemannschaft;Grundlagen;Seemännische Grundlagen sicher anwenden;false;SBFSEE-0009 | SBFBIN-0009;shared_basis;"Richtig.

Die dem Wind abgewandte Seite. Lee liegt windabwärts und ist damit die vom Wind abgewandte Seite.";"Falsch.

Richtig ist: „Die dem Wind abgewandte Seite.“

Lee liegt windabwärts und ist damit die vom Wind abgewandte Seite.";multiple_choice;Feedback erstellt
SBF-BASIS-0010;10;Basis;Basisfragen;See + Binnen;Wann müssen die Lichter von Fahrzeugen geführt oder gezeigt werden?;Von Sonnenuntergang bis Sonnenaufgang und bei verminderter Sicht.;Von Sonnenaufgang bis Sonnenuntergang und bei verminderter Sicht.;Von abends 18:00 Uhr bis morgens 06:00 Uhr und bei verminderter Sicht.;Bei Dunkelheit, schlechtem Wetter und verminderter Sicht.;A;Lichter, Zeichen & Schallsignale;Fahrzeug- und Verkehrssignale;Signale erkennen und Bedeutung zuordnen;false;SBFSEE-0010 | SBFBIN-0010;shared_basis;"Richtig.

Von Sonnenuntergang bis Sonnenaufgang und bei verminderter Sicht. Neben der Nachtzeit ist auch verminderte Sicht ein Anlass zur Lichterführung, damit Fahrzeuge rechtzeitig erkannt und eingeordnet werden können.";"Falsch.

Richtig ist: „Von Sonnenuntergang bis Sonnenaufgang und bei verminderter Sicht.“

Neben der Nachtzeit ist auch verminderte Sicht ein Anlass zur Lichterführung, damit Fahrzeuge rechtzeitig erkannt und eingeordnet werden können.";multiple_choice;Feedback erstellt
