Aufgabe-ID;Navigationsaufgabe;Teilaufgabe;Szenario;Aufgabenstellung;Amtliches Ergebnis;Hinweis;Stand;Quelle
NAV-01-01;1;1;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";Wie lautet der rwK?;rwk = 079°;*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-01-02;1;2;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";Die Ablenkung beträgt +4°, die Mw ist der Seekarte zu entnehmen. Wie lautet der MgK?;MgK = 074° *);*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-01-03;1;3;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";"Wie groß ist die Distanz zwischen der Tonne ""TG19/Weser 2"" und der Tonne ""ST""?";6,1 sm;*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-01-04;1;4;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";"In welcher Zeit wird die Distanz zwischen der Tonne ""TG19/Weser 2"" und der Tonne ""ST"" zurückgelegt?";"45,75 min., also 46 min. oder ""in einer 3/4 Stunde""";*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-01-05;1;5;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";Auf welcher Position befindet sich das Schiff nach Koppelort um 10:30 Uhr?;53° 55,8' N 007° 51,3' E;*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-01-06;1;6;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";"Um 10:30 Uhr werden nachfolgende Schifffahrtszeichen mit den Hand-Peilkompass gepeilt. Die Ablenkung beträgt dabei 0°, die Mw ist der Seekarte zu entnehmen. Neue Weser, Leuchttonne ""4a"", MgP = 169° Alte Weser, Leuchttonne ""ST"", MgP = 064°. Wie lauten die rw-Peilungen?";"Leuchttonne ""4a"" rwP = 170° Leuchttonne ""ST"" rwP = 065°";*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-01-07;1;7;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";Tragen Sie die rechtweisenden Peilungen in die Seekarte ein.;Siehe Karte;*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-01-08;1;8;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";Wie lautet die Besteckversetzung?;BV = 103° - 0,8 sm;*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-01-09;1;9;"Ein Sportboot befindet sich am 05.05.2012 in der Deutschen Bucht auf der Reise von Borkum nach Cuxhaven. Die Fahrt über Grund beträgt 8 kn. Um 10:00 Uhr wird die Leuchttonne ""TG19/Weser 2"" nahebei passiert. Von dieser Tonne wird der Kurs auf die Ansteuerungstonne der alten Weser ""ST"" abgesetzt.";"Beschreiben Sie Farbe, Kennung und Toppzeichen der Leuchttonne ""ST"".";Farbe: rot/weiß senkrecht gestreift Kennung: weißes Gleichtaktfeuer mit 8 Sekunden Wiederkehr Toppzeichen: roter Ball;*) Auf Basis des gemäß Verkehrsblatt vom 15.01.2013 geänderten Ergebnisses zu Frage 1 (rwK = 079°) wird der Magnetkompasskurs unter Berücksichtigung einer Ablenkung von +4° und der laut zugehörigem Kartenausschnitt des Fragebogens Nummer 1 angegebenen Missweisung von +1° ermittelt. Demnach lautet der MgK tatsächlich: 074°;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-01/Navigationsaufgabe-01-node.html
NAV-02-01;2;1;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";Entnehmen Sie der Seekarte die geographische Position des Sportbootes um 11:00 Uhr.;54° 09,0' N 007° 53,5' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
