Prüfungsbogen;Position im Bogen;Fragenkatalog-Nr.;Kategorie;Frage;Zusatztext;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Richtige Antwort (Text);Bilddateien im ZIP;Bild-URLs;Tags;Quelle
01;1;8;Grundlagen;Welche Seite wird als Luvseite bezeichnet?;;Die dem Wind abgewandte Seite.;Die Seite in Fahrtrichtung links.;Die dem Wind zugekehrte Seite.;Die Seite in Fahrtrichtung rechts.;C;Die dem Wind zugekehrte Seite.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;2;16;Signale;Welche Bedeutung hat folgendes Schallsignal:;;Ankerlieger über 100 m Länge.;Bleib-weg-Signal, Gefahrenbereich sofort verlassen.;Manövrierbehinderter Schleppverband über 200 m Länge.;Allgemeines Gefahr- und Warnsignal.;B;Bleib-weg-Signal, Gefahrenbereich sofort verlassen.;bilder/basisfragen_Schallzeichen-Frage-16-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Schallzeichen-Frage-16-gif.png;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;3;17;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Überholverbot.;Überholverbot für Fahrzeuge unter 20 m Länge.;Begegnungsverbot für Fahrzeuge über 20 m Länge.;Begegnungsverbot.;A;Überholverbot.;bilder/basisfragen_Verbotszeichen-A02-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Verbotszeichen-A02-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;4;32;Umwelt- & Naturschutz;Wie kann mitgeholfen werden, die Lebensmöglichkeiten der Pflanzen- und Tierwelt in Gewässern und Feuchtgebieten zu bewahren und zu fördern?;;"Durch umweltbewusstes Verhalten und Beachtung der ""Zehn Grundregeln für den Wassersport"".";Durch umsichtiges Verhalten und Beachtung der Verkehrsvorschriften.;"Durch umweltbewusstes Verhalten und Beachtung der ""Zehn goldenen Regeln für das Verhalten von Wassersportlern in der Natur"".";Durch vorausschauendes Fahren und Ausweichen entsprechend der Verkehrsvorschriften.;C;"Durch umweltbewusstes Verhalten und Beachtung der ""Zehn goldenen Regeln für das Verhalten von Wassersportlern in der Natur"".";;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;5;47;Grundlagen;Weshalb ist die Kenntnis der Propellerdrehrichtung von Bedeutung?;;Sie hilft beim Kurshalten.;Sie hilft beim Überholen.;Sie hilft beim Manövrieren.;Sie hilft beim Begegnen.;C;Sie hilft beim Manövrieren.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;6;60;Sicherheit;Welche Vorkehrungen sind für das längere Verlassen des Fahrzeugs zu treffen?;;Fahrzeug seefest hinterlassen und den Hafenmeister verständigen.;Alle Seeventile schließen und den Hauptschalter des Bordnetzes ausschalten.;Tagestank schließen und Kraftstofffilter entwässern.;Kraftstoff- und Wassertank auffüllen und das Bordnetz aufladen.;B;Alle Seeventile schließen und den Hauptschalter des Bordnetzes ausschalten.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;7;63;Sicherheit;Warum sind die Flüssiggase Propan und Butan an Bord besonders gefährlich?;;Beide Gase sind schwerer als Luft und bilden mit Luft ein explosives Gemisch.;Beide Gase sind leichter als Luft und bilden mit Luft ein explosives Gemisch.;Beide Gase sind schwerer als Luft und bilden mit Wasser ein explosives Gemisch.;Beide Gase sind schwerer als Wasser und bilden mit Wasser ein explosives Gemisch.;A;Beide Gase sind schwerer als Luft und bilden mit Luft ein explosives Gemisch.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;8;79;Verkehrsvorschriften;"Was bedeutet das ""Manöver des letzten Augenblicks""?";;Ausweichmanöver des Kurshalters und des Ausweichpflichtigen.;Ausweichmanöver des Kurshalters oder des Ausweichpflichtigen.;Ausweichmanöver des Ausweichpflichtigen.;Ausweichmanöver des Kurshalters.;D;Ausweichmanöver des Kurshalters.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;9;88;Verkehrsvorschriften;Wie sind Verkehrstrennungsgebiete zu befahren?;;Sie dürfen nur vom Anfang bis zum Ende und jeweils nur in Fahrtrichtung rechts der Trennzone befahren werden.;Sie dürfen jeweils nur in der allgemeinen Verkehrsrichtung rechts der Trennlinie oder Trennzone befahren werden.;Sie dürfen innerhalb der äußeren Trennlinien nur in einer Fahrtrichtung befahren werden.;Sie dürfen jeweils nur in Fahrtrichtung links der Trennlinie oder Trennzone befahren werden.;B;Sie dürfen jeweils nur in der allgemeinen Verkehrsrichtung rechts der Trennlinie oder Trennzone befahren werden.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;10;92;Lichterführung & Signalkörper;Welches Fahrzeug muss diese Lichter führen?;;Maschinenfahrzeug in Fahrt von 50 und mehr Meter Länge.;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser von 50 und mehr Meter Länge.;Ein manövrierunfähiges Fahrzeug in Fahrt.;Maschinenfahrzeug in Fahrt von weniger als 50 m Länge.;A;Maschinenfahrzeug in Fahrt von 50 und mehr Meter Länge.;bilder/spezifische_fragen_see_Lichter-Frage-92-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Lichter-Frage-92-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
